time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-11T01:46:50.100Z,36.9482,-97.8084,1.118,3,ml,,37,,0.41,us,us10003x8m,2015-11-26T01:29:57.418Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-11T01:39:03.600Z,36.9471,-97.8262,2.143,3.9,ml,,35,,0.82,us,us10003x8l,2015-11-24T22:52:01.089Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-11T01:25:08.100Z,36.8758,-97.4395,0.919,2.5,ml,,99,,0.67,us,us10003x8k,2015-11-26T01:25:04.553Z,"16km WNW of Blackwell, Oklahoma",earthquake
2015-11-11T00:30:00.300Z,36.7007,-98.2644,6.366,2.6,ml,,136,,0.64,us,us10003x89,2015-11-26T01:07:35.909Z,"10km SE of Cherokee, Oklahoma",earthquake
2015-11-10T23:12:45.900Z,36.6716,-97.7326,5.015,3.1,ml,,45,,0.57,us,us10003x7r,2015-11-26T00:14:38.600Z,"15km S of Medford, Oklahoma",earthquake
2015-11-10T20:18:46.600Z,36.9429,-97.8209,5,2.7,ml,,36,,0.64,us,us10003x4h,2015-11-13T15:01:47.383Z,"16km NNW of Medford, Oklahoma",earthquake
2015-11-10T19:27:32.800Z,36.9445,-97.8181,1.465,2.8,ml,,51,,0.79,us,us10003x3y,2015-11-13T14:45:56.887Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-10T19:16:01.500Z,36.9447,-97.8257,5,3,ml,,35,,0.6,us,us10003x3v,2015-11-12T22:59:54.913Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-10T19:13:38.200Z,36.9435,-97.8231,3.434,3.5,ml,,35,,0.47,us,us10003x3t,2015-11-16T20:59:23.090Z,"17km NNW of Medford, Oklahoma",earthquake
2015-11-10T14:02:18.400Z,36.9507,-97.8335,0.113,3.7,ml,,36,,0.56,us,us10003was,2015-11-16T20:59:28.650Z,"18km NNW of Medford, Oklahoma",earthquake
2015-11-10T13:36:45.600Z,35.9825,-96.8077,4.339,3.6,ml,,53,,0.31,us,us10003wah,2015-11-11T03:16:45.215Z,"3km W of Cushing, Oklahoma",earthquake
2015-11-10T13:11:29.300Z,36.4721,-98.7516,2.091,3.2,ml,,115,,0.34,us,us10003wab,2015-11-10T16:35:54.215Z,"33km NW of Fairview, Oklahoma",earthquake
2015-11-10T13:10:39.610Z,36.4359,-98.718,5,2.6,mb_lg,,104,0.235,0.51,us,us10003waa,2015-11-10T21:13:11.532Z,"28km NW of Fairview, Oklahoma",earthquake
2015-11-10T13:01:33.750Z,36.9268,-97.8149,3.79,2.5,mb_lg,,35,0.083,0.33,us,us10003wa7,2015-11-10T21:20:41.964Z,"15km NNW of Medford, Oklahoma",earthquake
2015-11-10T10:46:15.880Z,37.0563333,-97.5311667,5.96,2.35,ml,22,105,0.06087,0.04,ismpkansas,ismpkansas70152583,2015-11-10T19:14:12.561Z,"7km ENE of Caldwell, Kansas",earthquake
